Nº óbitos	População	CEP da ilha	Nº recuperados	Nº de vacinados	Data
539	129711	13	3140	33092	25-03-2025
801	971743	20	2780	411008	05-04-2024
562	920183	12	4867	79604	09-10-2024
645	657869	15	4244	174817	25-05-2024
320	890209	25	954	436893	09-02-2025
277	395542	19	67	162941	23-06-2024
603	93687	28	3219	37650	09-02-2025
7	655615	16	2270	185559	04-01-2025
515	107596	18	642	66007	03-01-2025
429	695869	29	327	494758	01-11-2024
352	339829	19	2438	174642	15-10-2024
397	723565	30	2678	255593	04-03-2025
178	227410	21	1129	15933	01-06-2024
418	639277	17	4870	307527	28-03-2025
350	377386	18	359	20828	08-08-2024
999	911708	23	3023	19619	08-08-2024
696	894976	14	1978	904	26-08-2024
894	454278	21	2575	15276	14-06-2024
391	243505	18	4836	183605	14-07-2024
152	475901	16	262	156516	09-06-2024
738	374213	23	2744	220013	18-01-2025
119	176495	22	4946	97641	22-01-2025
908	404403	28	2114	321687	12-11-2024
677	539585	13	3230	119790	12-12-2024
684	805513	29	4575	574542	14-02-2025
982	147074	21	735	35619	26-02-2025
10	108889	28	2860	12358	01-03-2025
975	751076	20	3950	444587	14-12-2024
824	716949	28	4090	389564	14-07-2024
195	687633	13	2963	18966	17-08-2024
922	314121	24	1878	16731	09-01-2025
342	329801	28	3860	128943	21-03-2025
102	870929	28	3121	525405	07-02-2025
496	410883	16	3281	92646	28-09-2024
890	205721	23	3269	138853	16-01-2025
152	298272	14	3123	214595	13-10-2024
241	125517	11	4561	19134	05-11-2024
450	196635	19	2794	169182	08-06-2024
451	252404	15	1334	250127	07-05-2024
207	196509	15	4709	172078	25-01-2025
93	94946	15	3697	47737	17-11-2024
180	969112	26	1055	796194	31-05-2024
566	779591	24	673	18258	15-11-2024
396	27506	27	3927	7634	09-07-2024
235	955360	12	156	453571	03-01-2025
632	224678	22	3887	91303	06-11-2024
43	401362	11	618	41385	09-04-2024
122	381662	18	4001	112706	22-04-2024
296	998112	25	242	58749	09-11-2024
694	735433	26	3828	414484	29-04-2024
721	205868	30	4266	3507	06-06-2024
28	597236	19	499	556927	06-08-2024
0	462308	22	2086	183773	17-09-2024
989	978718	22	3365	801399	18-04-2024
653	797219	26	1235	742002	28-11-2024
855	389758	29	2029	265481	31-03-2025
824	825499	16	25	730010	19-10-2024
708	747757	16	1370	196683	28-06-2024
293	60659	28	3488	23464	10-10-2024
439	460606	24	2130	9120	01-07-2024
56	197697	25	4862	55400	28-02-2025
304	426854	29	2138	332960	18-03-2025
111	339037	11	1071	320014	09-12-2024
638	534739	28	3015	186768	26-07-2024
118	285364	25	1824	266661	26-06-2024
8	798130	18	2070	276521	26-12-2024
295	273051	11	4134	11518	26-08-2024
40	934130	11	1404	871248	02-01-2025
677	163693	15	454	150220	26-08-2024
319	795008	27	1976	7004	07-10-2024
172	598831	28	2147	161108	07-10-2024
726	755914	11	4263	420077	06-01-2025
117	445670	11	1329	394711	13-01-2025
195	267629	21	659	8781	28-11-2024
137	795081	20	1437	427120	01-06-2024
983	795329	24	3987	645727	07-05-2024
350	329429	19	655	124844	08-05-2024
205	236812	12	4584	138839	23-11-2024
859	428303	18	4742	255083	17-02-2025
407	675711	23	1077	252599	19-08-2024
63	525362	27	689	369700	07-03-2025
527	594111	25	911	133058	02-05-2024
835	238656	14	4756	33397	29-06-2024
751	672596	27	506	524201	26-11-2024
955	471374	24	1978	8887	05-03-2025
644	209268	20	4361	4187	24-01-2025
915	844447	28	4328	535520	12-12-2024
210	785383	22	52	668332	04-11-2024
730	297649	14	4327	107323	26-09-2024
442	109208	18	2561	32955	12-02-2025
726	912268	16	4424	890617	23-12-2024
796	859955	21	1036	527388	19-03-2025
806	290773	12	2489	77675	15-05-2024
400	695572	15	2295	48214	04-04-2025
497	744296	12	475	548766	25-01-2025
408	12209	16	204	1231	29-10-2024
103	930408	18	3033	223100	19-03-2025
376	736720	23	3889	687220	26-03-2025
41	659181	16	1708	157794	11-11-2024
472	774290	11	1815	597334	24-09-2024
765	911905	13	4097	549314	02-09-2024
192	710732	27	1445	383834	15-06-2024
906	469951	17	4516	231945	14-10-2024
103	987961	15	4451	279987	07-10-2024
880	824916	13	3961	3170	14-08-2024
868	193700	21	4484	137486	22-09-2024
460	223059	20	3845	170026	15-07-2024
423	106736	11	2535	34645	29-04-2024
701	279800	22	4037	171137	04-05-2024
645	198325	24	373	108936	01-01-2025
347	784253	25	1011	422992	23-08-2024
554	821818	12	357	7264	09-11-2024
709	236303	11	3901	83709	17-10-2024
908	579606	22	2211	169898	20-03-2025
843	326772	14	2225	286065	30-04-2024
463	184389	23	2391	86934	25-11-2024
697	954879	24	3887	239657	25-12-2024
463	276663	26	4166	72221	24-03-2025
207	266302	27	3970	180605	23-12-2024
565	975860	17	1371	688294	20-03-2025
849	355371	30	3763	82095	14-01-2025
289	562031	19	1887	225481	25-03-2025
385	335420	16	4367	91007	04-04-2025
419	958439	29	1506	92905	01-12-2024
568	78741	15	4151	46177	22-05-2024
681	273783	12	3383	248630	08-10-2024
593	404075	29	356	290310	14-06-2024
755	686579	24	3156	131613	31-05-2024
151	722539	16	548	716638	02-08-2024
998	792511	18	4748	592554	08-06-2024
57	13229	29	2713	2828	12-07-2024
717	379860	23	584	196146	23-10-2024
853	849237	22	4525	650360	03-02-2025
249	501175	20	3806	173116	20-03-2025
867	612965	25	460	423017	02-08-2024
550	244081	25	4709	205732	02-10-2024
952	687051	24	4716	162170	26-10-2024
359	942881	12	2614	315894	05-04-2025
427	237964	26	4933	106850	18-05-2024
116	92121	16	3347	46239	18-09-2024
723	924760	27	4236	317199	18-11-2024
566	642541	21	1777	337987	06-01-2025
109	848744	19	293	797354	08-11-2024
500	145151	20	4293	5781	09-04-2024
520	362356	11	100	145319	24-04-2024
894	229055	26	2035	50795	23-11-2024
257	633260	21	299	234037	08-01-2025
405	181315	29	2654	108372	06-08-2024
864	332806	18	1275	145571	06-10-2024
950	295895	21	275	10679	02-11-2024
422	461419	17	1241	208340	09-08-2024
745	647029	21	3364	265021	02-02-2025
4	402332	20	3774	45417	08-06-2024
350	369049	27	3587	146517	02-11-2024
368	790493	23	1990	495358	18-12-2024
901	113025	30	4230	71766	25-07-2024
463	248854	25	204	110253	27-08-2024
794	804235	25	1812	426325	16-01-2025
106	395982	17	2094	187302	04-09-2024
45	471653	21	1292	364981	23-04-2024
28	55367	18	1544	38155	30-06-2024
960	446259	25	1256	365763	22-06-2024
470	718550	15	533	421811	05-03-2025
253	180212	22	2951	35659	16-12-2024
392	852595	13	3615	451242	01-11-2024
695	548349	21	2624	131048	18-05-2024
899	805171	16	4756	609058	08-11-2024
750	315430	19	2942	100487	24-09-2024
291	797704	11	1621	506009	04-01-2025
156	236688	18	4047	223746	07-06-2024
604	262035	24	2075	3024	28-04-2024
775	666025	22	4602	66674	26-02-2025
50	21937	27	4163	16968	21-11-2024
237	37484	13	200	3185	23-10-2024
73	277332	27	1166	163632	30-01-2025
530	771705	24	871	492956	02-05-2024
857	704252	14	2971	231076	03-02-2025
83	903213	15	3802	466286	16-12-2024
317	805195	11	297	650106	01-05-2024
85	455332	20	2816	344549	20-04-2024
645	202109	23	976	8227	03-07-2024
574	940993	14	3049	228928	23-01-2025
917	777588	30	2906	647358	02-02-2025
91	760316	25	3829	279771	05-07-2024
12	394187	11	3221	365582	17-11-2024
696	269321	23	3039	269089	21-01-2025
859	444805	20	4649	217736	01-03-2025
265	929727	16	4726	516328	08-11-2024
640	351841	15	3976	121557	14-04-2024
918	954798	20	4265	626270	23-05-2024
971	336066	23	2284	8375	05-09-2024
113	108441	22	1482	70647	15-02-2025
383	67443	12	2045	49831	19-09-2024
18	762593	27	4101	635547	04-10-2024
607	310985	22	2686	56887	27-06-2024
97	144190	20	2790	91224	07-09-2024
210	896733	25	774	798580	19-09-2024
540	29025	17	3269	18760	08-10-2024
487	951163	25	374	831874	20-01-2025
199	949266	14	1543	377301	01-03-2025
750	340284	23	4930	8400	19-03-2025
510	98107	28	769	37171	21-03-2025
342	431377	17	3360	261711	30-10-2024
300	625195	24	860	515064	07-10-2024
897	977628	15	2558	245877	28-06-2024
842	937468	19	3832	297999	22-11-2024
833	705254	20	3530	381758	13-03-2025
831	731381	25	4245	215767	12-12-2024
658	392806	26	4161	260976	23-11-2024
585	606583	25	3018	434512	18-12-2024
900	635823	27	4195	249749	01-05-2024
928	865074	24	940	492013	16-11-2024
636	504341	12	3690	493815	21-05-2024
816	462024	19	3281	384332	28-12-2024
414	33554	15	891	31774	05-05-2024
485	558570	24	2905	539652	17-09-2024
881	365741	16	4737	331600	23-03-2025
987	124015	26	3352	48066	19-08-2024
488	522961	21	1258	287250	25-11-2024
966	396881	15	4421	7797	15-03-2025
967	719983	15	3085	51342	11-11-2024
411	331834	22	2091	251403	08-12-2024
624	117429	28	3095	40943	17-05-2024
353	371418	13	1398	189519	11-05-2024
422	798572	18	2319	326368	23-07-2024
467	242329	17	2476	65675	15-10-2024
346	906295	20	823	472262	02-10-2024
15	46859	16	595	25504	18-10-2024
983	151454	16	3894	70540	08-03-2025
976	991277	20	3426	397559	25-11-2024
954	432784	20	2463	364406	09-03-2025
46	475033	24	1478	319001	09-12-2024
935	41847	25	4822	20044	18-05-2024
310	659209	16	4471	525286	15-02-2025
397	172799	16	4634	132116	01-05-2024
201	205185	17	4231	160516	14-01-2025
10	606906	27	2769	316827	20-08-2024
170	557055	28	2328	117152	07-09-2024
808	540073	23	475	227193	12-06-2024
87	746974	30	2915	423276	09-02-2025
295	924462	27	4365	321757	26-05-2024
2	567786	17	1985	87148	11-08-2024
712	718055	16	3518	144799	05-10-2024
949	391585	28	3470	380510	12-10-2024
603	838700	22	2259	326011	06-07-2024
527	132957	23	2737	81479	21-07-2024
201	311889	23	2048	239095	24-07-2024
660	104169	12	384	2761	14-04-2024
904	324479	16	2538	178797	22-07-2024
468	389431	20	107	183940	10-09-2024
543	987526	25	2579	493360	28-11-2024
312	33335	18	4914	19277	07-05-2024
981	929180	29	2679	3820	30-10-2024
908	14399	25	4195	6300	18-09-2024
680	954052	27	1878	578661	18-03-2025
670	502783	27	1653	473797	05-04-2024
472	804132	21	4180	632936	23-06-2024
269	215907	22	672	152764	16-02-2025
843	773906	13	1480	373462	10-06-2024
309	898081	27	534	548188	07-08-2024
364	185972	19	1063	152111	12-09-2024
140	326685	16	1444	63944	21-03-2025
887	85536	13	4201	20377	23-12-2024
784	453132	13	1817	142745	10-07-2024
963	306724	25	2628	138391	31-12-2024
331	444858	22	281	270793	25-04-2024
599	476889	12	27	245534	20-06-2024
866	160084	16	3925	108036	02-03-2025
782	184421	21	2310	9173	06-10-2024
990	424220	21	1162	10333	26-08-2024
673	283926	25	894	187689	08-06-2024
481	474600	16	3960	455161	21-02-2025
524	920591	27	2202	632396	19-07-2024
215	279620	24	3994	32350	24-04-2024
951	77099	27	4470	26914	06-03-2025
162	453414	12	326	95003	24-07-2024
537	385028	11	4641	259990	28-03-2025
259	150601	18	936	52606	24-01-2025
242	991824	12	2298	936872	21-04-2024
289	651787	15	2717	120511	05-01-2025
640	88879	15	998	14427	17-02-2025
337	811039	12	2195	44006	01-08-2024
310	978118	22	826	894680	12-11-2024
886	650596	18	539	600246	09-12-2024
46	106095	25	823	64717	04-06-2024
417	565428	24	3134	98641	10-09-2024
129	978187	11	2760	122390	29-06-2024
460	43357	16	4572	23141	01-03-2025
624	925978	15	2062	896018	27-11-2024
172	288767	26	725	267578	22-05-2024
74	993104	25	1901	502914	29-08-2024
615	235901	26	2192	235572	09-08-2024
381	824471	22	4661	794615	20-01-2025
401	501133	22	2891	235959	29-08-2024
876	1821	24	2620	971	17-07-2024
929	664047	30	1855	558109	12-03-2025
231	202477	23	4405	97956	17-10-2024
178	395373	21	1729	206217	27-05-2024
318	402809	17	941	360091	15-12-2024
742	772788	23	149	216984	05-01-2025
222	545503	23	4511	499840	07-03-2025
566	501749	25	3582	223904	29-12-2024
753	202104	17	4834	196100	15-09-2024
410	153305	21	1142	69101	17-07-2024
18	546594	12	481	410580	08-06-2024
765	711850	26	4308	626249	31-03-2025
234	311368	30	1133	135024	22-01-2025
960	98475	17	394	84324	21-11-2024
337	948240	27	946	830808	21-04-2024
640	922669	13	483	130331	19-10-2024
612	326313	27	4291	121545	29-03-2025
720	891218	24	3731	319668	29-12-2024
20	681110	14	3322	160026	18-10-2024
309	741577	28	1193	600764	13-12-2024
753	22001	19	4563	18391	03-03-2025
607	25738	14	2753	8017	20-12-2024
444	360121	28	1222	333091	16-09-2024
155	142266	28	1612	37624	29-12-2024
893	201070	17	82	34990	27-07-2024
138	462672	11	1588	75097	12-08-2024
469	435755	21	4575	313371	26-05-2024
483	460842	25	2984	116063	04-04-2025
968	72481	30	155	55108	21-05-2024
478	974820	14	1636	947746	25-12-2024
32	949606	15	706	916317	31-07-2024
195	319661	17	2095	190983	24-09-2024
255	992329	29	1609	694012	02-07-2024
431	822104	24	3492	796537	09-11-2024
113	764647	19	2888	485630	25-05-2024
876	53769	30	4927	20205	06-02-2025
475	105889	11	3717	76381	11-05-2024
805	711477	11	1773	430787	09-12-2024
215	392932	19	4400	319588	17-01-2025
295	367076	24	1163	28257	27-12-2024
663	333262	16	301	40092	23-05-2024
884	256033	27	370	248961	10-05-2024
741	919194	16	1077	779248	16-01-2025
669	70529	15	1411	54813	22-02-2025
633	436129	15	1053	14328	07-06-2024
757	927844	24	1814	894391	07-10-2024
714	415695	14	1070	17576	16-05-2024
429	391361	16	378	382724	07-03-2025
59	61206	12	2176	31415	02-11-2024
842	899487	20	4454	834719	22-09-2024
47	938772	17	1215	560864	10-03-2025
707	801803	12	636	396560	17-10-2024
56	305567	30	1886	291101	28-12-2024
823	566554	14	3829	506659	12-02-2025
765	558363	26	4354	215667	26-09-2024
35	888090	13	4101	732505	22-01-2025
401	141982	19	706	58943	15-02-2025
712	794831	25	386	275765	25-03-2025
482	282375	29	4784	136562	30-04-2024
157	380860	12	3811	142373	08-09-2024
530	318032	12	521	59356	18-02-2025
488	94031	29	3267	10549	13-02-2025
835	713065	28	2020	185532	17-07-2024
529	700439	29	2	397310	23-02-2025
402	579867	17	1493	380427	15-01-2025
543	563901	24	382	8662	24-02-2025
739	924662	23	2018	241093	02-04-2025
231	345474	26	280	5665	13-06-2024
990	707559	29	4149	274015	05-09-2024
345	14772	28	2218	2613	24-09-2024
548	142770	28	2785	1435	11-07-2024
310	930296	11	175	656399	18-06-2024
533	58750	20	2761	22425	24-07-2024
605	498949	27	1996	444233	28-09-2024
357	750332	14	293	465888	10-11-2024
647	116431	23	141	71778	07-01-2025
895	361552	24	89	193022	03-01-2025
48	777944	30	1442	675889	10-01-2025
830	22724	26	335	6061	12-12-2024
570	674937	26	1870	284886	31-01-2025
571	96521	14	2385	93112	05-10-2024
984	579086	20	249	550972	27-12-2024
334	28741	21	725	21688	28-08-2024
164	626951	13	3764	455908	09-02-2025
945	149621	26	4722	32740	17-12-2024
825	694960	28	4132	464821	01-08-2024
75	629182	15	1855	390314	22-12-2024
695	747151	11	2363	301979	17-12-2024
53	31181	12	3937	14959	01-02-2025
252	638686	12	2522	358251	18-01-2025
679	367317	12	2482	253833	05-06-2024
171	34214	24	2027	20934	15-12-2024
341	738091	13	2070	575071	18-03-2025
352	385999	20	4403	314736	27-08-2024
70	308991	16	907	64119	15-10-2024
391	20758	12	1511	5917	21-08-2024
410	669282	28	4295	359198	12-03-2025
438	13255	12	2920	5154	29-05-2024
613	626258	30	3706	521269	08-12-2024
122	383785	27	3483	63402	30-06-2024
41	95320	21	1487	58184	15-01-2025
651	718760	28	1868	384362	25-05-2024
145	318861	14	413	91162	15-10-2024
2	1033	28	2857	843	17-01-2025
674	873368	18	1604	682319	23-10-2024
851	269680	14	140	202594	06-08-2024
520	826881	26	1387	654513	17-03-2025
467	654477	19	3598	43369	10-01-2025
724	99949	21	4535	93458	23-05-2024
208	822994	19	1683	6970	27-10-2024
277	327739	18	4575	231888	04-04-2025
541	338144	14	3319	290010	16-04-2024
977	576647	20	1961	50601	28-08-2024
598	598032	24	1949	459510	03-12-2024
617	819416	28	393	662948	19-04-2024
489	792082	29	4428	55406	03-10-2024
976	122491	20	2085	103766	10-03-2025
527	758649	24	1414	199590	02-11-2024
184	928762	18	3290	638805	10-05-2024
838	315141	29	3436	134345	11-12-2024
365	561420	15	3774	429018	06-11-2024
28	711335	15	503	259547	03-10-2024
895	582203	18	1015	223801	19-06-2024
361	314574	25	1515	179549	06-12-2024
985	736006	15	2583	649877	11-05-2024
829	753209	19	1830	561888	25-10-2024
33	153094	28	4295	20684	21-05-2024
171	758101	13	3518	50430	24-01-2025
890	977923	27	3503	799726	08-10-2024
910	958956	13	824	831033	01-05-2024
105	276545	27	4921	268777	17-02-2025
942	666162	13	285	123077	30-11-2024
774	990444	25	135	20672	14-09-2024
508	58782	18	4325	54228	17-08-2024
36	986379	24	615	216943	05-11-2024
556	139883	17	4637	121059	04-07-2024
920	71086	26	1599	66892	17-08-2024
548	278795	21	3400	59299	17-09-2024
3	961506	12	3417	389035	06-03-2025
467	816971	16	776	669557	25-03-2025
435	713294	24	672	574288	01-03-2025
763	317053	15	2407	291284	01-02-2025
774	432865	12	1763	312298	24-01-2025
765	243740	27	4615	102930	26-12-2024
